review_id,user_id,timestamp,review,rating,sentiment,issue_type
1,6238,2024-03-19 06:31:14,Very disappointed. Will not order again.,2,negative,product issue
2,6086,2024-02-10 02:06:51,"The item was fine, but packaging could be improved.",3,positive,product issue
3,6581,2024-03-26 09:36:56,Everything arrived on time and as described.,4,neutral,general
4,9008,2024-03-03 23:18:38,Very disappointed. Will not order again.,2,negative,product issue
5,8064,2024-01-31 09:03:33,"Average experience, met expectations.",3,neutral,general
6,6407,2024-03-07 05:14:21,Great service and fast delivery. Very satisfied.,4,positive,delivery issue
7,8060,2024-01-15 22:31:23,Terrible experience. The product arrived broken.,1,negative,product issue
8,5905,2024-02-11 17:38:48,"Average experience, met expectations.",3,neutral,general
9,6864,2024-01-03 23:05:18,Very disappointed. Will not order again.,2,negative,product issue
10,4781,2024-01-16 13:18:26,Terrible experience. The product arrived broken.,1,negative,product issue
11,7052,2024-02-20 01:35:24,Absolutely loved the product! Will buy again.,4,positive,general
12,2238,2024-03-30 21:07:49,Absolutely loved the product! Will buy again.,5,positive,general
13,5469,2024-01-21 00:09:13,Everything arrived on time and as described.,4,neutral,general
14,9896,2024-01-07 19:58:35,Customer service was very helpful and friendly.,5,neutral,service issue
15,2416,2024-02-01 05:14:13,I want a refund. The product doesn't work.,2,neutral,product issue
16,4471,2024-01-30 07:23:02,Terrible experience. The product arrived broken.,1,negative,product issue
17,7000,2024-01-20 16:43:06,"Not bad, but could be better.",3,positive,general
18,9535,2024-01-13 03:07:55,Very disappointed. Will not order again.,1,negative,product issue
19,3842,2024-01-03 21:40:50,"Average experience, met expectations.",3,neutral,general
20,3172,2024-03-20 05:26:43,It's decent for the price.,3,neutral,general
21,4044,2024-03-27 22:01:51,Fantastic quality and easy to use. Highly recommend!,5,positive,product issue
22,3791,2024-03-27 06:36:29,Great service and fast delivery. Very satisfied.,5,positive,delivery issue
23,8153,2024-02-09 04:55:58,Customer support was unhelpful and rude.,2,neutral,service issue
24,8300,2024-03-30 09:02:50,Customer support was unhelpful and rude.,1,neutral,service issue
25,6931,2024-02-19 23:56:03,I want a refund. The product doesn't work.,1,neutral,product issue
26,5386,2024-02-19 19:57:32,Customer support was unhelpful and rude.,1,neutral,service issue
27,7824,2024-01-09 18:10:45,Absolutely loved the product! Will buy again.,4,positive,general
28,8876,2024-03-12 15:39:45,Customer support was unhelpful and rude.,2,neutral,service issue
29,5910,2024-01-21 18:53:52,"Not bad, but could be better.",3,positive,general
30,3282,2024-02-14 14:25:34,Absolutely loved the product! Will buy again.,4,positive,general
31,7184,2024-01-08 14:57:54,Delivery was late and packaging was damaged.,2,neutral,delivery issue
32,4374,2024-03-10 10:03:45,Delivery was late and packaging was damaged.,1,neutral,delivery issue
