review_id,user_id,timestamp,review,rating
1,6238,2024-03-19 06:31:14,Very disappointed. Will not order again.,2
2,6086,2024-02-10 02:06:51,"The item was fine, but packaging could be improved.",3
3,6581,2024-03-26 09:36:56,Everything arrived on time and as described.,4
4,9008,2024-03-03 23:18:38,Very disappointed. Will not order again.,2
5,8064,2024-01-31 09:03:33,"Average experience, met expectations.",3
6,6407,2024-03-07 05:14:21,Great service and fast delivery. Very satisfied.,4
7,8060,2024-01-15 22:31:23,Terrible experience. The product arrived broken.,1
8,5905,2024-02-11 17:38:48,"Average experience, met expectations.",3
9,6864,2024-01-03 23:05:18,Very disappointed. Will not order again.,2
10,4781,2024-01-16 13:18:26,Terrible experience. The product arrived broken.,1
11,7052,2024-02-20 01:35:24,Absolutely loved the product! Will buy again.,4
12,2238,2024-03-30 21:07:49,Absolutely loved the product! Will buy again.,5
13,5469,2024-01-21 00:09:13,Everything arrived on time and as described.,4
14,9896,2024-01-07 19:58:35,Customer service was very helpful and friendly.,5
15,2416,2024-02-01 05:14:13,I want a refund. The product doesn't work.,2
16,4471,2024-01-30 07:23:02,Terrible experience. The product arrived broken.,1
17,7000,2024-01-20 16:43:06,"Not bad, but could be better.",3
18,9535,2024-01-13 03:07:55,Very disappointed. Will not order again.,1
19,3842,2024-01-03 21:40:50,"Average experience, met expectations.",3
20,3172,2024-03-20 05:26:43,It's decent for the price.,3
21,4044,2024-03-27 22:01:51,Fantastic quality and easy to use. Highly recommend!,5
22,3791,2024-03-27 06:36:29,Great service and fast delivery. Very satisfied.,5
23,8153,2024-02-09 04:55:58,Customer support was unhelpful and rude.,2
24,8300,2024-03-30 09:02:50,Customer support was unhelpful and rude.,1
25,6931,2024-02-19 23:56:03,I want a refund. The product doesn't work.,1
26,5386,2024-02-19 19:57:32,Customer support was unhelpful and rude.,1
27,7824,2024-01-09 18:10:45,Absolutely loved the product! Will buy again.,4
28,8876,2024-03-12 15:39:45,Customer support was unhelpful and rude.,2
29,5910,2024-01-21 18:53:52,"Not bad, but could be better.",3
30,3282,2024-02-14 14:25:34,Absolutely loved the product! Will buy again.,4
31,7184,2024-01-08 14:57:54,Delivery was late and packaging was damaged.,2
32,4374,2024-03-10 10:03:45,Delivery was late and packaging was damaged.,1
33,4755,2024-03-07 22:24:00,Absolutely loved the product! Will buy again.,4
34,6382,2024-02-20 23:50:52,"Not bad, but could be better.",3
35,7075,2024-03-29 12:00:49,I want a refund. The product doesn't work.,2
36,2561,2024-01-28 08:27:51,Fantastic quality and easy to use. Highly recommend!,4
37,2002,2024-03-26 22:58:56,"The item was fine, but packaging could be improved.",3
38,3609,2024-03-21 11:28:41,I want a refund. The product doesn't work.,1
39,7184,2024-01-02 07:34:28,"The item was fine, but packaging could be improved.",3
40,1411,2024-01-02 06:02:05,"Product was okay, nothing special.",3
41,7745,2024-03-19 09:56:49,Customer support was unhelpful and rude.,2
42,7082,2024-01-26 06:05:21,I want a refund. The product doesn't work.,1
43,1014,2024-03-31 22:05:27,I want a refund. The product doesn't work.,2
44,9022,2024-01-02 22:17:40,"The item was fine, but packaging could be improved.",3
45,1356,2024-03-22 03:19:07,"Average experience, met expectations.",3
46,8129,2024-01-20 09:14:07,Fantastic quality and easy to use. Highly recommend!,4
47,7957,2024-01-27 08:51:16,"Product was okay, nothing special.",3
48,6301,2024-03-26 10:34:53,Very disappointed. Will not order again.,1
49,9867,2024-01-20 18:33:22,"Average experience, met expectations.",3
50,6819,2024-03-30 09:28:46,Very disappointed. Will not order again.,1
51,5320,2024-03-27 14:20:01,I want a refund. The product doesn't work.,1
52,1937,2024-01-25 01:59:00,Fantastic quality and easy to use. Highly recommend!,4
53,2836,2024-03-11 09:40:29,Very disappointed. Will not order again.,1
54,1751,2024-02-27 13:29:11,"Product was okay, nothing special.",3
55,8550,2024-02-06 19:32:10,Fantastic quality and easy to use. Highly recommend!,5
56,5631,2024-02-10 13:39:41,Customer support was unhelpful and rude.,1
57,8366,2024-01-22 00:19:09,"The item was fine, but packaging could be improved.",3
58,8139,2024-03-15 05:35:50,"Average experience, met expectations.",3
59,2549,2024-03-07 04:47:59,Absolutely loved the product! Will buy again.,4
60,7866,2024-03-19 18:23:57,Customer service was very helpful and friendly.,4
61,3904,2024-03-20 10:32:48,It's decent for the price.,3
62,3317,2024-02-06 04:19:32,Absolutely loved the product! Will buy again.,4
63,3583,2024-03-22 12:46:59,I want a refund. The product doesn't work.,2
64,3121,2024-01-11 14:04:44,"Not bad, but could be better.",3
65,8236,2024-01-17 00:32:13,Very disappointed. Will not order again.,2
66,8794,2024-01-29 08:52:46,Delivery was late and packaging was damaged.,2
67,2556,2024-03-24 18:15:00,"Product was okay, nothing special.",3
68,4119,2024-01-30 16:08:01,"The item was fine, but packaging could be improved.",3
69,8993,2024-03-07 05:06:51,"Average experience, met expectations.",3
70,1564,2024-03-11 11:17:03,Delivery was late and packaging was damaged.,1
71,9058,2024-02-09 12:45:37,Terrible experience. The product arrived broken.,2
72,7775,2024-03-18 13:44:13,Great service and fast delivery. Very satisfied.,4
73,5964,2024-03-28 15:19:37,Delivery was late and packaging was damaged.,1
74,8553,2024-02-03 17:03:12,Terrible experience. The product arrived broken.,2
75,1982,2024-02-11 05:17:33,Great service and fast delivery. Very satisfied.,5
76,1776,2024-02-25 05:09:12,Everything arrived on time and as described.,5
77,6752,2024-02-03 09:38:40,I want a refund. The product doesn't work.,1
78,9495,2024-01-29 15:50:45,Everything arrived on time and as described.,5
79,3036,2024-03-19 13:33:11,"Average experience, met expectations.",3
80,7250,2024-01-15 18:45:37,Customer service was very helpful and friendly.,4
81,7295,2024-03-06 16:12:11,I want a refund. The product doesn't work.,2
82,4205,2024-03-23 16:40:18,It's decent for the price.,3
83,7261,2024-02-05 15:15:29,Delivery was late and packaging was damaged.,1
84,4830,2024-03-18 01:41:24,It's decent for the price.,3
85,5820,2024-02-13 20:17:29,Terrible experience. The product arrived broken.,1
86,2368,2024-01-05 17:06:29,"Product was okay, nothing special.",3
87,8797,2024-02-21 23:04:03,"Product was okay, nothing special.",3
88,5493,2024-01-10 01:03:21,I want a refund. The product doesn't work.,1
89,6529,2024-03-20 00:25:31,Delivery was late and packaging was damaged.,1
90,9413,2024-02-04 11:24:13,Great service and fast delivery. Very satisfied.,4
91,8132,2024-01-03 03:06:29,I want a refund. The product doesn't work.,2
92,1720,2024-02-27 11:14:14,It's decent for the price.,3
93,9023,2024-01-23 22:26:08,"The item was fine, but packaging could be improved.",3
94,3281,2024-01-25 18:58:40,It's decent for the price.,3
95,5794,2024-03-16 13:07:14,It's decent for the price.,3
96,2025,2024-02-29 05:03:23,"Product was okay, nothing special.",3
97,5684,2024-02-11 19:55:52,"Average experience, met expectations.",3
98,3237,2024-01-31 07:58:32,"The item was fine, but packaging could be improved.",3
99,8913,2024-01-05 14:36:29,Delivery was late and packaging was damaged.,2
100,8455,2024-02-17 08:46:18,Great service and fast delivery. Very satisfied.,5
101,5494,2024-01-18 12:12:04,Very disappointed. Will not order again.,2
102,9658,2024-03-29 13:39:40,"Not bad, but could be better.",3
103,7308,2024-03-24 16:42:54,Very disappointed. Will not order again.,2
104,7694,2024-01-14 02:45:59,Fantastic quality and easy to use. Highly recommend!,5
105,8645,2024-01-04 09:39:17,I want a refund. The product doesn't work.,1
106,3872,2024-01-24 10:46:37,Terrible experience. The product arrived broken.,2
107,7934,2024-03-26 02:08:09,It's decent for the price.,3
108,8258,2024-03-15 00:40:03,Delivery was late and packaging was damaged.,2
109,6129,2024-03-28 18:43:50,Delivery was late and packaging was damaged.,2
110,3674,2024-02-22 05:14:58,Great service and fast delivery. Very satisfied.,5
111,2027,2024-03-12 22:29:10,I want a refund. The product doesn't work.,2
112,2552,2024-03-29 17:56:37,Customer service was very helpful and friendly.,4
113,3553,2024-01-28 20:56:53,Delivery was late and packaging was damaged.,2
114,1526,2024-03-04 12:51:00,Absolutely loved the product! Will buy again.,4
115,8488,2024-03-19 17:19:19,Very disappointed. Will not order again.,1
116,8054,2024-03-05 19:24:55,Terrible experience. The product arrived broken.,1
117,6952,2024-01-20 20:27:24,Everything arrived on time and as described.,4
118,8236,2024-03-22 12:53:26,Great service and fast delivery. Very satisfied.,5
